id,origin_node,destination_node,pickup_earliest,drop_off_latest
213,21645,19858,07:26,07:56
214,16678,19858,08:10,08:40
215,19278,19858,06:34,07:04
216,5860,19858,08:28,08:58
217,418,19858,06:48,07:18
218,8734,19858,07:12,07:42
219,12767,19858,06:54,07:24
220,5560,19858,07:29,07:59
221,2867,19858,07:34,08:04
222,19081,19858,07:38,08:08
223,20780,19858,07:58,08:28
224,1610,19858,06:47,07:17
225,14835,19858,08:28,08:58
226,8828,19858,06:51,07:21
227,1424,19858,07:04,07:34
228,1453,19858,07:38,08:08
229,20069,19858,07:34,08:04
230,10270,19858,06:50,07:20
231,13879,19858,07:26,07:56
232,3856,19858,07:48,08:18
233,3033,19858,08:07,08:37
234,20213,19858,08:06,08:36
235,15183,19858,08:05,08:35
236,21545,19858,06:58,07:28
237,12989,19858,07:39,08:09
238,15557,19858,07:41,08:11
239,8990,19858,06:37,07:07
240,17230,19858,07:40,08:10
241,7932,19858,06:44,07:14
242,6194,19858,06:52,07:22
243,17923,19858,06:47,07:17
244,18494,19858,07:10,07:40
245,12018,19858,07:28,07:58
246,9353,19858,08:38,09:08
247,8888,19858,07:58,08:28
248,6299,19858,06:36,07:06
249,6323,19858,07:02,07:32
250,13578,19858,07:25,07:55
251,15247,19858,07:32,08:02
252,2866,19858,07:55,08:25
253,9902,19858,08:40,09:10
254,17501,19858,08:32,09:02
255,21810,19858,06:52,07:22
256,21945,19858,07:59,08:29
257,9517,19858,07:11,07:41
258,926,19858,08:41,09:11
259,21920,19858,07:06,07:36
260,11038,19858,08:18,08:48
261,1124,19858,07:46,08:16
262,15833,19858,08:40,09:10
263,9503,19858,07:28,07:58
264,739,19858,08:31,09:01
265,17607,19858,07:33,08:03
266,925,19858,08:20,08:50
267,5489,19858,07:07,07:37
268,13685,19858,07:16,07:46
269,645,19858,07:15,07:45
270,7864,19858,07:50,08:20
271,9672,19858,08:59,09:29
272,4752,19858,08:25,08:55
273,15208,19858,07:13,07:43
274,11210,19858,07:01,07:31
275,17872,19858,07:09,07:39
276,1712,19858,06:39,07:09
277,8529,19858,07:56,08:26
278,18776,19858,08:45,09:15
279,781,19858,07:07,07:37
280,8413,19858,07:50,08:20
281,22944,19858,07:41,08:11
282,7769,19858,07:42,08:12
283,17215,19858,08:12,08:42
284,6568,19858,06:35,07:05
285,2053,19858,06:36,07:06
286,14961,19858,08:12,08:42
287,5753,19858,07:28,07:58
288,15929,19858,09:00,09:30
289,17239,19858,07:25,07:55
290,7772,19858,07:01,07:31
291,2507,19858,07:46,08:16
292,406,19858,07:42,08:12
293,3541,19858,08:32,09:02
294,21478,19858,06:47,07:17
295,13418,19858,07:33,08:03
296,21520,19858,07:28,07:58
297,22155,19858,07:20,07:50
298,8375,19858,07:08,07:38
299,1270,19858,07:13,07:43
300,18353,19858,07:27,07:57
301,7610,19858,07:43,08:13
302,11684,19858,07:04,07:34
303,4303,19858,06:58,07:28
304,12510,19858,07:20,07:50
305,15930,19858,07:38,08:08
306,2579,19858,08:48,09:18
307,14951,19858,07:43,08:13
308,946,19858,06:49,07:19
309,1051,19858,06:43,07:13
310,21682,19858,06:48,07:18
311,6676,19858,06:39,07:09
312,5767,19858,07:43,08:13
313,22421,19858,07:17,07:47
314,1360,19858,07:28,07:58
315,5266,19858,07:28,07:58
316,7835,19858,07:46,08:16
317,960,19858,07:34,08:04
318,11469,19858,08:32,09:02
319,7451,19858,08:36,09:06
320,4091,19858,06:37,07:07
321,9648,19858,07:30,08:00
322,8561,19858,06:48,07:18
323,3851,19858,08:35,09:05
324,11744,19858,07:52,08:22
325,8209,19858,06:56,07:26
326,6975,19858,07:34,08:04
327,2805,19858,08:32,09:02
328,1732,19858,08:58,09:28
329,6514,19858,08:25,08:55
330,7359,19858,08:16,08:46
331,6235,19858,06:38,07:08
332,14455,19858,07:56,08:26
333,7998,19858,07:03,07:33
334,12127,19858,07:32,08:02
335,9597,19858,07:14,07:44
336,3472,19858,08:39,09:09
337,4487,19858,07:17,07:47
338,16588,19858,08:07,08:37
339,15835,19858,07:01,07:31
340,14968,19858,07:31,08:01
341,2983,19858,06:56,07:26
342,17365,19858,07:57,08:27
343,10850,19858,07:19,07:49
344,634,19858,07:21,07:51
345,6300,19858,07:24,07:54
346,8101,19858,07:39,08:09
347,20059,19858,07:39,08:09
348,11706,19858,06:42,07:12
349,16787,19858,07:30,08:00
350,498,19858,08:08,08:38
351,1305,19858,07:32,08:02
352,7855,19858,07:18,07:48
353,101,19858,06:35,07:05
354,16102,19858,06:53,07:23
355,9361,19858,08:43,09:13
356,1263,19858,08:26,08:56
357,12124,19858,06:56,07:26
358,1649,19858,06:36,07:06
359,2034,19858,07:50,08:20
360,22172,19858,08:54,09:24
361,8190,19858,08:46,09:16
362,2067,19858,07:45,08:15
363,6543,19858,06:57,07:27
364,15502,19858,07:26,07:56
365,5049,19858,06:35,07:05
366,12199,19858,07:22,07:52
367,4549,19858,07:48,08:18
368,22608,19858,07:41,08:11
369,4252,19858,07:28,07:58
370,10273,19858,06:36,07:06
371,8706,19858,07:40,08:10
372,9650,19858,07:19,07:49
373,14228,19858,07:46,08:16
374,4027,19858,08:19,08:49
375,13643,19858,07:14,07:44
376,4100,19858,06:50,07:20
377,8383,19858,07:10,07:40
378,14875,19858,07:08,07:38
379,14883,19858,07:21,07:51
380,18720,19858,07:56,08:26
381,4128,19858,07:09,07:39
382,10218,19858,08:21,08:51
383,20222,19858,07:23,07:53
384,13311,19858,06:42,07:12
385,9403,19858,06:45,07:15
386,366,19858,06:53,07:23
387,10313,19858,06:41,07:11
388,10274,19858,07:19,07:49
389,18966,19858,08:22,08:52
390,21867,19858,06:58,07:28
391,999,19858,07:07,07:37
392,9423,19858,07:18,07:48
393,17317,19858,07:25,07:55
394,7489,19858,08:49,09:19
395,1164,19858,07:58,08:28
396,11926,19858,07:49,08:19
397,13536,19858,07:49,08:19
398,1258,19858,08:03,08:33
399,15747,19858,07:11,07:41
400,8340,19858,06:31,07:01
401,18301,19858,07:54,08:24
402,14702,19858,07:12,07:42
403,11345,19858,08:28,08:58
404,17682,19858,07:40,08:10
405,12892,19858,06:58,07:28
406,13616,19858,07:54,08:24
407,16446,19858,07:00,07:30
408,6219,19858,07:40,08:10
409,5196,19858,06:41,07:11
410,8882,19858,08:12,08:42
411,5896,19858,07:46,08:16
412,9571,19858,07:38,08:08
413,22000,19858,07:41,08:11
414,14087,19858,06:35,07:05
415,5188,19858,07:19,07:49
416,19260,19858,07:26,07:56
417,1292,19858,07:05,07:35
418,6319,19858,07:26,07:56
419,1388,19858,08:21,08:51
420,21318,19858,07:35,08:05
421,5119,19858,07:06,07:36
422,4472,19858,08:16,08:46
423,1218,19858,07:24,07:54
424,11783,19858,07:06,07:36
425,1598,19858,06:42,07:12
426,11256,19858,07:59,08:29
427,11461,19858,07:30,08:00
428,12647,19858,08:55,09:25
429,8473,19858,08:09,08:39
430,9445,19858,06:59,07:29
431,11300,19858,08:50,09:20
432,3014,19858,06:34,07:04
433,15841,19858,07:19,07:49
434,22354,19858,08:38,09:08
435,448,19858,07:14,07:44
436,5357,19858,07:24,07:54
437,22961,19858,06:49,07:19
438,20429,19858,06:54,07:24
439,21895,19858,07:41,08:11
440,16493,19858,08:37,09:07
441,9741,19858,07:04,07:34
442,15615,19858,07:25,07:55
443,19842,19858,07:44,08:14
444,18903,19858,07:47,08:17
445,7884,19858,07:11,07:41
446,8274,19858,07:17,07:47
447,9406,19858,08:50,09:20
448,10248,19858,06:31,07:01
449,8469,19858,08:59,09:29
450,14607,19858,06:30,07:00
451,22603,19858,08:45,09:15
452,18357,19858,06:59,07:29
453,7172,19858,07:56,08:26
454,8057,19858,08:10,08:40
455,110,19858,07:59,08:29
456,8996,19858,06:37,07:07
457,3854,19858,08:04,08:34
458,218,19858,07:49,08:19
459,12009,19858,07:05,07:35
460,16546,19858,08:02,08:32
461,14310,19858,08:02,08:32
462,19831,19858,08:12,08:42
463,17295,19858,08:21,08:51
464,12994,19858,07:42,08:12
465,7378,19858,08:28,08:58
466,10605,19858,07:11,07:41
467,9929,19858,07:38,08:08
468,22675,19858,06:57,07:27
469,7609,19858,08:02,08:32
470,7142,19858,06:42,07:12
471,4721,19858,07:14,07:44
472,10507,19858,08:37,09:07
473,8547,19858,07:02,07:32
474,5929,19858,06:39,07:09
475,11133,19858,08:42,09:12
476,8160,19858,07:52,08:22
477,2819,19858,07:59,08:29
478,15699,19858,06:36,07:06
479,4240,19858,08:45,09:15
480,22676,19858,06:49,07:19
481,7511,19858,07:37,08:07
482,8140,19858,08:07,08:37
483,16277,19858,08:34,09:04
484,11145,19858,08:16,08:46
485,441,19858,06:58,07:28
486,20806,19858,06:48,07:18
487,16005,19858,07:32,08:02
488,14882,19858,07:59,08:29
489,1331,19858,08:58,09:28
490,20167,19858,08:21,08:51
491,7467,19858,08:28,08:58
492,1287,19858,06:45,07:15
493,11746,19858,06:31,07:01
494,391,19858,06:53,07:23
495,18190,19858,07:16,07:46
496,8744,19858,07:40,08:10
497,5180,19858,08:33,09:03
498,14820,19858,07:25,07:55
499,8336,19858,07:38,08:08
500,18558,19858,07:23,07:53
501,8658,19858,07:54,08:24
502,9433,19858,07:12,07:42
503,16542,19858,07:26,07:56
504,6070,19858,08:24,08:54
505,14301,19858,07:44,08:14
506,10950,19858,07:21,07:51
507,16587,19858,07:33,08:03
508,17793,19858,07:15,07:45
509,22353,19858,06:49,07:19
510,15157,19858,07:01,07:31
511,7348,19858,06:46,07:16
512,878,19858,08:04,08:34
513,15716,19858,07:03,07:33
514,20291,19858,07:31,08:01
515,5356,19858,07:49,08:19
516,1099,19858,07:33,08:03
517,12514,19858,08:41,09:11
518,17532,19858,06:59,07:29
519,10919,19858,07:26,07:56
520,4993,19858,06:59,07:29
521,17606,19858,07:57,08:27
522,21768,19858,06:46,07:16
523,8746,19858,08:45,09:15
524,14849,19858,06:56,07:26
525,13718,19858,07:28,07:58
526,6982,19858,07:25,07:55
527,10777,19858,06:54,07:24
528,4647,19858,07:31,08:01
529,11056,19858,07:23,07:53
530,19116,19858,07:09,07:39
531,12781,19858,07:35,08:05
532,7455,19858,06:38,07:08
533,12350,19858,07:01,07:31
534,17494,19858,08:40,09:10
535,15549,19858,06:46,07:16
536,9958,19858,08:06,08:36
537,16396,19858,07:15,07:45
538,18846,19858,08:41,09:11
539,5409,19858,08:23,08:53
540,11738,19858,07:00,07:30
541,10885,19858,08:00,08:30
542,475,19858,07:32,08:02
543,13560,19858,07:24,07:54
544,8964,19858,06:55,07:25
545,18541,19858,07:40,08:10
546,17964,19858,07:52,08:22
547,13970,19858,06:58,07:28
548,6670,19858,08:48,09:18
549,17792,19858,06:30,07:00
550,22205,19858,07:11,07:41
551,271,19858,08:07,08:37
552,1332,19858,08:12,08:42
553,440,19858,07:49,08:19
554,11445,19858,08:16,08:46
555,15596,19858,07:39,08:09
556,3012,19858,06:31,07:01
557,4641,19858,07:33,08:03
558,7587,19858,08:58,09:28
559,8898,19858,07:27,07:57
560,679,19858,06:58,07:28
561,11226,19858,07:44,08:14
562,21815,19858,07:30,08:00
563,21108,19858,06:38,07:08
564,7490,19858,07:35,08:05
565,16754,19858,06:54,07:24
566,376,19858,07:22,07:52
567,11196,19858,07:33,08:03
568,17453,19858,07:51,08:21
569,16055,19858,07:19,07:49
570,2124,19858,07:07,07:37
571,2768,19858,07:23,07:53
572,11970,19858,07:38,08:08
573,1576,19858,08:11,08:41
574,18587,19858,07:29,07:59
575,9716,19858,07:08,07:38
576,22139,19858,07:09,07:39
577,6526,19858,08:02,08:32
578,5175,19858,07:49,08:19
579,18430,19858,06:32,07:02
580,21735,19858,06:38,07:08
581,15978,19858,08:39,09:09
582,16108,19858,07:44,08:14
583,15643,19858,07:38,08:08
584,76,19858,07:30,08:00
585,22137,19858,06:43,07:13
586,13278,19858,08:24,08:54
587,8935,19858,06:56,07:26
588,3849,19858,06:33,07:03
589,15469,19858,08:56,09:26
590,18252,19858,08:44,09:14
591,5204,19858,06:58,07:28
592,12918,19858,07:18,07:48
593,8768,19858,07:10,07:40
594,10729,19858,06:49,07:19
595,13068,19858,07:22,07:52
596,2823,19858,07:11,07:41
597,22310,19858,08:45,09:15
598,4926,19858,07:26,07:56
599,9072,19858,07:17,07:47
600,19078,19858,06:51,07:21
601,3978,19858,08:26,08:56
602,980,19858,07:15,07:45
603,4890,19858,07:53,08:23
604,1396,19858,06:58,07:28
605,6955,19858,08:41,09:11
606,8270,19858,07:31,08:01
607,8420,19858,07:27,07:57
608,11640,19858,06:53,07:23
609,7485,19858,07:50,08:20
610,12196,19858,08:48,09:18
611,12613,19858,07:12,07:42
612,8924,19858,06:51,07:21
613,22522,19858,07:43,08:13
614,18471,19858,07:45,08:15
615,14713,19858,07:13,07:43
616,20264,19858,07:36,08:06
617,15884,19858,07:25,07:55
618,5720,19858,08:09,08:39
619,5921,19858,07:40,08:10
620,5418,19858,08:03,08:33
621,3081,19858,08:23,08:53
622,6993,19858,08:00,08:30
623,10109,19858,06:50,07:20
624,15719,19858,07:25,07:55
625,820,19858,07:24,07:54
626,9048,19858,08:12,08:42
627,9295,19858,07:02,07:32
628,6493,19858,07:53,08:23
629,6945,19858,07:29,07:59
630,7927,19858,07:19,07:49
631,17791,19858,07:32,08:02
632,13682,19858,06:47,07:17
633,19124,19858,07:49,08:19
634,1159,19858,08:17,08:47
635,9460,19858,07:10,07:40
636,14471,19858,07:12,07:42
637,11794,19858,06:45,07:15
638,10727,19858,06:59,07:29
639,69,19858,08:34,09:04
640,8730,19858,07:39,08:09
641,5085,19858,07:46,08:16
642,13382,19858,07:10,07:40
643,13241,19858,08:00,08:30
644,14899,19858,07:07,07:37
645,22491,19858,08:25,08:55
646,18305,19858,06:42,07:12
647,4337,19858,06:44,07:14
648,21585,19858,07:12,07:42
649,6884,19858,07:26,07:56
650,12414,19858,08:31,09:01
651,8357,19858,08:51,09:21
652,12617,19858,08:32,09:02
653,1535,19858,07:31,08:01
654,14971,19858,08:44,09:14
655,16502,19858,08:40,09:10
656,1896,19858,07:37,08:07
657,4940,19858,07:00,07:30
658,12421,19858,07:28,07:58
659,19697,19858,08:35,09:05
660,15748,19858,08:40,09:10
661,9241,19858,06:48,07:18
662,804,19858,06:42,07:12
663,2872,19858,07:55,08:25
664,4759,19858,07:09,07:39
665,8904,19858,07:03,07:33
666,16003,19858,07:21,07:51
667,882,19858,06:38,07:08
668,14885,19858,07:49,08:19
669,6792,19858,07:50,08:20
670,241,19858,08:13,08:43
671,8237,19858,08:23,08:53
672,657,19858,07:17,07:47
673,8204,19858,08:08,08:38
674,21738,19858,07:45,08:15
675,19307,19858,07:38,08:08
676,4480,19858,07:28,07:58
677,10186,19858,07:22,07:52
678,22709,19858,07:04,07:34
679,13868,19858,06:49,07:19
680,8750,19858,07:24,07:54
681,16843,19858,07:39,08:09
682,6563,19858,08:14,08:44
683,8033,19858,06:55,07:25
684,18825,19858,06:33,07:03
685,18444,19858,06:34,07:04
686,3027,19858,07:02,07:32
687,8618,19858,08:27,08:57
688,7624,19858,07:52,08:22
689,12517,19858,08:48,09:18
690,548,19858,06:42,07:12
691,4448,19858,07:31,08:01
692,718,19858,07:23,07:53
693,3030,19858,08:16,08:46
694,15059,19858,06:44,07:14
695,10679,19858,08:05,08:35
696,7912,19858,08:42,09:12
697,21480,19858,08:56,09:26
698,8343,19858,07:06,07:36
699,5364,19858,07:38,08:08
700,5952,19858,06:59,07:29
701,15768,19858,06:38,07:08
702,7591,19858,06:56,07:26
703,18397,19858,07:24,07:54
704,15606,19858,06:48,07:18
705,1881,19858,07:39,08:09
706,16522,19858,07:04,07:34
707,4364,19858,07:06,07:36
708,7613,19858,07:44,08:14
709,1084,19858,07:38,08:08
710,13305,19858,06:57,07:27
711,6346,19858,07:19,07:49
712,847,19858,07:18,07:48
713,11065,19858,07:23,07:53
714,11464,19858,07:16,07:46
715,7472,19858,07:27,07:57
716,9885,19858,07:33,08:03
717,4136,19858,06:37,07:07
718,11975,19858,07:15,07:45
719,9109,19858,06:51,07:21
720,19005,19858,06:51,07:21
721,14318,19858,08:37,09:07
722,17693,19858,06:51,07:21
723,22158,19858,07:21,07:51
724,6943,19858,07:29,07:59
725,12569,19858,08:58,09:28
726,19482,19858,07:05,07:35
727,15169,19858,08:04,08:34
728,10882,19858,07:34,08:04
729,11752,19858,08:06,08:36
730,9106,19858,08:01,08:31
731,729,19858,08:00,08:30
732,1469,19858,06:47,07:17
733,1404,19858,07:02,07:32
734,10701,19858,07:08,07:38
735,8636,19858,07:20,07:50
736,22705,19858,08:47,09:17
737,5917,19858,07:43,08:13
738,4760,19858,07:43,08:13
739,14130,19858,07:36,08:06
740,18102,19858,06:40,07:10
741,10824,19858,07:26,07:56
742,814,19858,08:32,09:02
743,15594,19858,08:01,08:31
744,1639,19858,06:43,07:13
745,14879,19858,07:10,07:40
746,16519,19858,07:19,07:49
747,9750,19858,07:12,07:42
748,21891,19858,07:41,08:11
749,7000,19858,06:59,07:29
750,11074,19858,07:24,07:54
751,13474,19858,06:45,07:15
752,11032,19858,07:56,08:26
753,8700,19858,08:01,08:31
754,14058,19858,08:36,09:06
755,9172,19858,06:37,07:07
756,13314,19858,07:11,07:41
757,19179,19858,07:14,07:44
758,14958,19858,07:26,07:56
759,3742,19858,06:59,07:29
760,15053,19858,07:21,07:51
761,10731,19858,07:28,07:58
762,12532,19858,08:47,09:17
763,9594,19858,06:59,07:29
764,3811,19858,07:29,07:59
765,5463,19858,06:58,07:28
766,14156,19858,08:11,08:41
767,2505,19858,06:53,07:23
768,6448,19858,08:51,09:21
769,5826,19858,07:42,08:12
770,17983,19858,07:29,07:59
771,22461,19858,06:39,07:09
772,6680,19858,08:00,08:30
773,17575,19858,07:28,07:58
774,12893,19858,06:59,07:29
775,2030,19858,08:19,08:49
776,22100,19858,08:31,09:01
777,7340,19858,07:42,08:12
778,1372,19858,08:19,08:49
779,18426,19858,07:11,07:41
780,15166,19858,08:10,08:40
781,12961,19858,07:37,08:07
782,21724,19858,08:08,08:38
783,3964,19858,06:36,07:06
784,9082,19858,07:20,07:50
785,21625,19858,07:09,07:39
786,12501,19858,08:08,08:38
787,8928,19858,07:36,08:06
788,1382,19858,06:52,07:22
789,18433,19858,08:09,08:39
790,1506,19858,07:14,07:44
791,18674,19858,07:25,07:55
792,12202,19858,07:52,08:22
793,198,19858,06:30,07:00
794,13876,19858,07:10,07:40
795,22556,19858,07:42,08:12
796,15708,19858,07:33,08:03
797,2854,19858,08:07,08:37
798,14108,19858,08:02,08:32
799,6529,19858,07:31,08:01
800,13506,19858,06:40,07:10
801,21747,19858,07:21,07:51
802,7544,19858,08:51,09:21
803,5968,19858,07:19,07:49
804,18298,19858,08:15,08:45
805,9651,19858,07:12,07:42
806,22320,19858,07:56,08:26
807,8454,19858,07:02,07:32
808,8020,19858,07:50,08:20
809,5100,19858,07:03,07:33
810,14464,19858,06:43,07:13
811,3906,19858,07:58,08:28
812,14225,19858,07:12,07:42
813,1643,19858,07:47,08:17
814,5851,19858,08:23,08:53
815,4800,19858,07:40,08:10
816,12966,19858,06:36,07:06
817,18394,19858,06:51,07:21
818,5557,19858,07:31,08:01
819,1240,19858,07:25,07:55
820,12347,19858,06:56,07:26
821,745,19858,07:34,08:04
822,17926,19858,06:42,07:12
823,20058,19858,07:23,07:53
824,22565,19858,07:38,08:08
825,2775,19858,08:12,08:42
826,5706,19858,07:45,08:15
827,10942,19858,07:54,08:24
828,4882,19858,07:53,08:23
829,21745,19858,06:56,07:26
830,1611,19858,07:07,07:37
831,13291,19858,08:30,09:00
832,1724,19858,07:40,08:10
833,4322,19858,06:55,07:25
834,9513,19858,06:37,07:07
835,12540,19858,08:17,08:47
836,956,19858,06:53,07:23
837,20062,19858,06:55,07:25
838,10780,19858,08:22,08:52
839,1579,19858,07:51,08:21
840,18635,19858,06:46,07:16
841,17444,19858,07:00,07:30
842,5035,19858,07:51,08:21
843,15060,19858,08:14,08:44
844,5872,19858,07:27,07:57
845,8554,19858,06:49,07:19
846,15921,19858,08:42,09:12
847,1658,19858,06:33,07:03
848,13372,19858,08:21,08:51
849,12369,19858,09:00,09:30
850,12040,19858,07:00,07:30
851,6340,19858,07:01,07:31
852,14833,19858,07:32,08:02
853,1657,19858,08:05,08:35
854,20208,19858,07:40,08:10
855,607,19858,08:01,08:31
856,2763,19858,06:44,07:14
857,15417,19858,07:15,07:45
858,1349,19858,08:29,08:59
859,9746,19858,08:32,09:02
860,839,19858,07:13,07:43
861,5964,19858,07:40,08:10
862,5542,19858,06:54,07:24
863,1284,19858,06:57,07:27
864,6431,19858,07:25,07:55
865,19417,19858,08:37,09:07
866,7443,19858,08:21,08:51
867,2792,19858,08:06,08:36
868,19519,19858,07:49,08:19
869,21540,19858,07:25,07:55
870,4080,19858,07:50,08:20
871,19527,19858,07:30,08:00
872,13310,19858,07:34,08:04
873,8478,19858,07:37,08:07
